"filename", "language", "C++", "CMake", "XML", "CMakeCache", "YAML", "JSON", "Makefile", "Python", "Markdown", "Batch", "comment", "blank", "total"
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\_deps\matplotlib-src\examples\minimal.cpp", "C++", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\_deps\matplotlib-src\examples\modern.cpp", "C++", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 31
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\_deps\matplotlib-src\examples\nonblock.cpp", "C++", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 12, 47
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\_deps\matplotlib-src\examples\quiver.cpp", "C++", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 20
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\_deps\matplotlib-src\examples\subplot.cpp", "C++", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 32
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\_deps\matplotlib-src\examples\subplot2grid.cpp", "C++", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 45
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\_deps\matplotlib-src\examples\surface.cpp", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\_deps\matplotlib-src\examples\update.cpp", "C++", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16, 61
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\_deps\matplotlib-src\examples\xkcd.cpp", "C++", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\_deps\matplotlib-src\matplotlibcpp.h", "C++", 1425, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 431, 1933
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\_deps\matplotlib-src\numpy_flags.py", "Python", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 4, 13
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\_deps\matplotlib-subbuild\ALL_BUILD.vcxproj", "XML", 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\_deps\matplotlib-subbuild\CMakeCache.txt", "CMakeCache", 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 19, 105
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\_deps\matplotlib-subbuild\CMakeFiles\3.26.5\CMakeSystem.cmake", "CMake", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\_deps\matplotlib-subbuild\CMakeFiles\3.26.5\VCTargetsPath.vcxproj", "XML", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\_deps\matplotlib-subbuild\CMakeFiles\CMakeConfigureLog.yaml", "YAML", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\_deps\matplotlib-subbuild\CMakeFiles\matplotlib-populate.dir\Labels.json", "JSON", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 46
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\_deps\matplotlib-subbuild\CMakeLists.txt", "CMake", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 7, 10, 37
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\_deps\matplotlib-subbuild\ZERO_CHECK.vcxproj", "XML", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75
